year,Electricityproduction
1960,1.456483126
1961,1.461308535
1962,1.264044944
1963,1.58172232
1964,2.179285554
1965,2.018978397
1966,2.197802198
1967,2.785380776
1968,2.580738178
1969,2.270987497
1970,1.925084077
1971,1.656272365
1972,1.556524059
1973,1.585513078
1974,1.535950137
1975,1.408180247
1976,0.880599464
1977,1.060053489
1978,0.630580871
1979,0.643814937
1980,0.584317938
1981,0.445831476
1982,0
1983,0
1984,0.071864894
1985,0.017534118
1986,0.110845195
1987,0.130769057
1988,0.143606394
1989,0.121051418
1990,0.139026467
1991,0.197523487
1992,0.173740014
1993,0.181552135
1994,0.16598358
1995,0.357113871
1996,0.274082351
1997,0.36497057
1998,0.298139108
1999,0.20182068
2000,0.220137366
2001,0.273782848
2002,0.2187017
2003,0.162895413
2004,0.150632391
2005,0.115463459
2006,0.157686657
2007,0.316353272
2008,0.5800885
2009,1.120567522
2010,1.854096436
2011,2.510974616
2012,3.069362328
2013,4.080714875
2014,4.755857011
2015,6.307132243
2016,18.6303
2017,15.452775
2018,18.63848
2019,22.269948
2020,23.194
2021,23.057
2022,27.335
2023,28.482
